1 2 3
4 5 2
6 7 5
8 9 7
10 11 9
12 13 11
14 15 13
16 17 15
18 19 17
20 21 19
22 23 21
24 25 23
26 27 25
28 29 27
30 31 29
32 33 31
34 35 33
36 37 35
38 39 37
40 41 39
42 43 41
44 45 43
46 47 45
48 49 47
50 51 49
52 53 51
54 55 53
56 57 55
58 59 57
60 61 59
62 63 61
64 65 63
66 67 65
68 69 67
70 71 69
72 73 71
74 75 73
76 77 75
78 79 77
80 81 79
82 83 81
84 85 83
86 87 85
88 89 87
90 91 89
92 93 91
94 95 93
1 4 2
4 6 5
6 8 7
8 10 9
10 12 11
12 14 13
14 16 15
16 18 17
18 20 19
20 22 21
22 24 23
24 26 25
26 28 27
28 30 29
30 32 31
32 34 33
34 36 35
36 38 37
38 40 39
40 42 41
42 44 43
44 46 45
46 48 47
48 50 49
50 52 51
52 54 53
54 56 55
56 58 57
58 60 59
60 62 61
62 64 63
64 66 65
66 68 67
68 70 69
70 72 71
72 74 73
74 76 75
76 78 77
78 80 79
80 82 81
82 84 83
84 86 85
86 88 87
88 90 89
90 92 91
92 94 93
94 96 95
